"responseid","interview_start","interview_end","internal_job","id","vend","vd","mode","state","zipcode","dmacode","dmaname","prizmne","age","ppinhh","weightbystate","marital_status","number_in_household","children_under_18_in_household","Level_of_Education","Level_of_Income","gender","Ethnicity","question_1","Question_2","Question_3","TRIP_ONE","TRIP_TWO","TRIP_THREE","TRIP_FOUR","TRIP_FIVE","TRIP_SIX","number_of_nights_trip_1","month_trip_1","main_reason_trip_1","question_6","Question_7","question_8","Question_9","Question_10","question_12_UNITED","question_13","question_14","question_15","question_16","Question_17","Question_18","Question_19_UNITED","Question_20","Question_21"
4375,"11/30/2015 18:22:52","11/30/2015 18:29:32",1269101,"1293260085",1,1,1,"CA","95624",862,"Sacramento-Stockton-Modesto, CA","02",60,2,3.44916,"Married",7,0,"Post Graduate Degree","5) $100,000 but less than $150,000","Male","mixed","Minnesota, and Montana, and Nebraska, and South Dakota, and Wyoming","South Dakota, and Wyoming","Not Likely, and Somewhat Likely, and Somewhat Likely, and Not Likely, and Not Likely, and Very Likely, and Not Likely, and Very Likely","May, 10, FAMILY","","","","","",10,"May","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","Talked to Friends and Family","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort, and Homesharing/vacation rental, and With Friends or Family","History/Old West, and Arts and Culture, and Wildlife Viewing, and Outdoor Recreation, and Fishing, and Native American Culture","Fishing, and 0","Black Hills, and Missouri River","Rapid City, and Mount Rushmore, and Wall Drug, and Chamberlain/Oacoma, and Missouri River, and Als Oasis","Excellent","600, and 400, and 100, and 300, and 0, and 500, and 300","Every Chance You Get, and You've done it, but it was over a year ago, and Often, and Every Chance You Get, and Often, and Often, and Every Chance You Get, and You've done it, but it was over a year ago"
1509,"11/23/2015 20:25:02","11/23/2015 20:33:29",1269101,"EPOB3LBDK2PFV4K473",2,2,2,"PA","15210",508,"Pittsburgh, PA","61",39,3,0.86229,"Married",3,1,"Post Graduate Degree","4) $75,000 but less than $100,000","Female","caucasian/white","South Dakota","South Dakota","Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely","August, 9, FAMILY","","","","","",9,"August","FAMILY","South Dakota Was My Only Destination","","At Least 3 Months In Advance","Talked to Friends and Family, and Used Internet, and Used Online Review Site Such As TripAdvisor or Yelp, and Used Social Media Such as Facebook or Pinterest","Flew/airplane, and Rapid City",3,"Spouse/Significant Other, and Child(ren)/Grandchild(ren):age 0-12","Hotel, motel, inn, lodge, b&b, or resort","Family fun, and History/Old West, and National/State Parks, and Arts and Culture, and Wildlife Viewing, and Archeology/Paleontology, and Rodeos, and Scenic Byways/Drives","History/Old West, and National/State Parks, and Scenic Byways/Drives, and 0","Black Hills, and Glacial Lakes, and Southeast SD","Deadwood, and Badlands, and Custer, and Mount Rushmore, and Wall Drug, and Laura Ingalls Wilder, and 0","Very Good","1000, and 300, and 300, and 200, and 0, and 3000, and 0","You've done it, but it was over a year ago, and You have never done it and probably never will, and You've done it, but it was over a year ago, and You have never done it and probably never will, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Often, and You have never done it and probably never will"
3743,"11/25/2015 8:05:34","11/25/2015 8:15:29",1269101,"1253565292",1,1,1,"CO","80906",752,"Colorado Springs-Pueblo, CO","22",53,4,0.65221,"Married",9,2,"Some College/Technical School","4) $75,000 but less than $100,000","Female","african-american/black","South Dakota","","Somewhat Likely, and Not Likely, and Very Likely, and Somewhat Likely, and Not Likely, and Very Likely, and Not Likely, and Somewhat Likely","January, 9, FRIENDS","September, 8, FRIENDS","October, 7, FRIENDS","July, 6, FRIENDS","November, 5, FRIENDS","",9,"January","FRIENDS","I was ultimately headed somewhere else but included a visit to South Dakota","New Jersey, and Rhode Island, and South Carolina","At Least 1 Month In Advance","Talked to Friends and Family","Flew/airplane, and COS",1,"","With Friends or Family","Casinos","1","Glacial Lakes, and Southeast SD","Watertown, and Sioux Falls, and Yankton, and Vermillion, and Great Plains Zoo, and Corn Palace, and Palisades State Park, and Music Museum, and Prehistoric Indian Village, and Lewis and Clark Rec Area, and Falls Park, and Sioux Falls Two, and Other, and 1","Very Good","0, and 200, and 100, and 200, and 0, and 400, and 0","Every Chance You Get, and Often, and Every Chance You Get, and Every Chance You Get, and Often, and Often, and Every Chance You Get, and Often"
2526,"11/24/2015 13:02:54","11/24/2015 13:10:32",1269101,"1306183311",1,1,2,"MN","55116",613,"Minneapolis-St. Paul, MN","21",37,3,0.56618,"Married",6,1,"College Graduate","4) $75,000 but less than $100,000","Female","caucasian/white","Iowa, and Minnesota, and Montana, and Nebraska, and North Dakota, and South Dakota, and Wisconsin, and Wyoming","Minnesota, and Montana, and South Dakota, and Wyoming","Not Likely, and Very Likely, and Very Likely, and Somewhat Likely, and Not Likely, and Somewhat Likely, and Not Likely, and Very Likely","September, 9, FAMILY","","","","","",9,"September","FAMILY","South Dakota Was My Only Destination","","At Least 3 Months In Advance","Talked to Friends and Family, and Used Internet, and Used Online Review Site Such As TripAdvisor or Yelp, and Used Social Media Such as Facebook or Pinterest","Drove via car, van, truck, or SUV",3,"Spouse/Significant Other, and Child(ren)/Grandchild(ren):age 13+","Hotel, motel, inn, lodge, b&b, or resort, and RV park/Campground","National/State Parks, and Wildlife Viewing, and Outdoor Recreation, and Camping and RV, and Archeology/Paleontology, and Culinary/Brewery/Wine, and Scenic Byways/Drives, and Native American Culture","National/State Parks, and Wildlife Viewing, and Outdoor Recreation, and 0","Black Hills","Rapid City, and Hill City, and Hot Springs, and Deadwood, and Badlands, and Custer, and Wind Cave, and Mount Rushmore, and Jewel Cave, and Crazy Horse, and Wall Drug, and Harney Peak, and Mickelson Trail, and Minutemen, and Spearfish Canyon","Excellent","900, and 500, and 150, and 200, and 0, and 200, and 0","Occasionally when you have an opportunity, and You have never done it and probably never will, and Every Chance You Get, and You've done it, but it was over a year ago, and Often, and Often, and Every Chance You Get, and You've done it, but it was over a year ago"
4478,"12/2/2015 11:14:52","12/2/2015 11:24:03",1269101,"EPOCF4NQRKY8L5M487",2,2,1,"WI","53209",617,"Milwaukee, WI","61",69,2,3.79408,"Married",3,0,"Some College/Technical School","3) $50,000 but less than $75,000","Male","caucasian/white","Iowa, and South Dakota, and Wyoming","South Dakota, and Wyoming","Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely","September, 8, FAMILY","","","","","",8,"September","FAMILY","South Dakota was one of several places I decided to visit on this trip","Illinois, and South Carolina, and Wyoming","At Least 2 Months In Advance","Called 800 Number to Request Info, and Used Internet, and Contacted Individual Attraction or Event to Request Information, and Contacted Individual Chamber of Commerce to Request Information","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort","History/Old West, and National/State Parks, and Events/Entertainment, and Wildlife Viewing, and Water Recreation, and Scenic Byways/Drives","History/Old West, and National/State Parks, and Wildlife Viewing, and 0","Black Hills","Rapid City, and Badlands, and Custer, and Mount Rushmore, and Wall Drug","Excellent","1000, and 200, and 200, and 200, and 200, and 500, and 100","You've done it, but it was over a year ago, and You have never done it and probably never will, and Often, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and Often, and Often, and You've done it, but it was over a year ago"
4901,"12/4/2015 14:43:28","12/4/2015 14:51:00",1269101,"1131936654",1,1,1,"MN","55060",613,"Minneapolis-St. Paul, MN","37",64,2,0.56618,"Married",2,0,"College Graduate","5) $100,000 but less than $150,000","Male","caucasian/white","Minnesota, and South Dakota","Minnesota, and South Dakota","Not Likely, and Very Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Somewhat Likely, and Not Likely","August, 8, FRIENDS","","","","","",8,"August","FRIENDS","South Dakota Was My Only Destination","","At Least 3 Months In Advance","Talked to Friends and Family, and Used Internet, and Used Online Travel Agency Such As Expedia or Orbitz, and Used Online Review Site Such As TripAdvisor or Yelp","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort","Family fun, and National/State Parks, and Wildlife Viewing, and Scenic Byways/Drives","Family fun, and National/State Parks, and Scenic Byways/Drives, and 0","Black Hills","Badlands, and Custer, and Wind Cave, and Mount Rushmore, and Jewel Cave, and Crazy Horse, and Wall Drug, and Harney Peak","Very Good","1100, and 300, and 50, and 0, and 0, and 300, and 0","You've done it, but it was over a year ago, and You have never done it and probably never will, and Occasionally when you have an opportunity, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and You have never done it and probably never will, and Occasionally when you have an opportunity, and You have never done it and probably never will"
3877,"11/25/2015 12:31:20","11/25/2015 12:54:08",1269101,"EPO6VY7Y2QFNPFW458",2,2,1,"IA","50054",679,"Des Moines-Ames, IA","45",69,2,0.43243,"Married",4,0,"Some High School or Less","2) $35,000 but less than $50,000","Female","caucasian/white","Minnesota, and Montana, and South Dakota, and Wyoming","Montana, and South Dakota, and Wyoming","Very Likely, and Not Likely, and Very Likely, and Not Likely, and Not Likely, and Very Likely, and Not Likely, and Very Likely","September, 8, FAMILY","","","","","",8,"September","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort","National/State Parks, and Events/Entertainment, and Motorcycling, and Scenic Byways/Drives","National/State Parks, and Motorcycling, and Scenic Byways/Drives, and 0","Black Hills","Rapid City, and Hill City, and Hot Springs, and Deadwood, and Badlands, and Custer, and Mickelson Trail, and Spearfish Canyon, and Sturgis Rally","Excellent","1193, and 200, and 0, and 65, and 0, and 400, and 200","You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and You have never done it and probably never will, and Often, and Occasionally when you have an opportunity, and Every Chance You Get, and Every Chance You Get, and You've done it, but it was over a year ago"
471,"11/20/2015 1:16:17","11/20/2015 1:24:37",1269101,"1131858365",1,1,1,"OR","97007",820,"Portland, OR","18",99,1,0.19162,"Single/never married",9,NA,"Some High School or Less","1) Less than $35,000","Male","none of your business","Iowa, and Minnesota, and Montana, and Nebraska, and North Dakota, and South Dakota, and Wisconsin, and Wyoming","Iowa, and Minnesota, and Montana, and Nebraska, and North Dakota, and South Dakota, and Wisconsin, and Wyoming","Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely","January, 8, FRIENDS","February, 12, FRIENDS","September, 9, FRIENDS","June, 20, FRIENDS","March, 1, FRIENDS","",8,"January","FRIENDS","South Dakota Was My Only Destination","","Less Than 1 Month In Advance","Called 800 Number to Request Info","Drove via car, van, truck, or SUV",20,"Other, and none of your business","With Friends or Family","Family fun, and History/Old West, and National/State Parks, and Arts and Culture, and Casinos, and Events/Entertainment, and Wildlife Viewing, and Outdoor Recreation, and Motorcycling, and Camping and RV, and Archeology/Paleontology, and Fishing, and Hunting, and Water Recreation, and Culinary/Brewery/Wine, and Rodeos, and Scenic Byways/Drives, and Native American Culture","Casinos, and Fishing, and 0","Black Hills, and Missouri River, and Glacial Lakes, and Southeast SD","Other, and none of your business, and 0","Poor","0, and 0, and 0, and 0, and 0, and 0, and 0","Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get"
3730,"11/25/2015 4:48:00","11/25/2015 4:59:27",1269101,"1111941534",1,1,1,"KS","66712",603,"Joplin-Pittsburg, MO-KS","58",53,4,4.48391,"Married",6,1,"College Graduate","2) $35,000 but less than $50,000","Female","caucasian/white","Iowa, and Minnesota, and Montana, and South Dakota, and Wyoming","Minnesota, and Montana, and South Dakota","Very Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Very Likely, and Not Likely, and Somewhat Likely","July, 7, FAMILY","","","","","",7,"July","FAMILY","South Dakota was one of several places I decided to visit on this trip","Mississippi, and Wyoming","At Least 1 Month In Advance","Talked to Friends and Family, and Used Internet","Drove via car, van, truck, or SUV",4,"Spouse/Significant Other, and Child(ren)/Grandchild(ren):age 13+","Hotel, motel, inn, lodge, b&b, or resort","Family fun, and National/State Parks, and Arts and Culture, and Wildlife Viewing, and Outdoor Recreation, and Fishing, and Scenic Byways/Drives, and Native American Culture","Family fun, and Wildlife Viewing, and Scenic Byways/Drives, and 0","Black Hills, and Southeast SD","Rapid City, and Deadwood, and Badlands, and Custer, and Mount Rushmore, and Crazy Horse, and Spearfish Canyon, and Sturgis Rally, and Other, and lead","Excellent","980, and 550, and 550, and 700, and 300, and 500, and 500","Often, and You have never done it and probably never will, and Occasionally when you have an opportunity, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Often, and You've done it, but it was over a year ago"
5785,"12/5/2015 11:22:15","12/5/2015 11:31:37",1269101,"1278770103",1,1,1,"OK","73162",650,"Oklahoma City, OK","10",63,2,3.44916,"Married",2,0,"College Graduate","6) $150,000 or more","Female","caucasian/white, asian","Minnesota, and Montana, and South Dakota","","Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely","August, 7, FAMILY","","","","","",7,"August","FAMILY","South Dakota Was My Only Destination","","At Least 2 Months In Advance","Used Internet","Drove via car, van, truck, or SUV",4,"Spouse/Significant Other, and Friends/Acquaintances","Hotel, motel, inn, lodge, b&b, or resort","History/Old West, and National/State Parks, and Wildlife Viewing, and Scenic Byways/Drives, and Native American Culture","National/State Parks, and 0","Black Hills, and Southeast SD","Rapid City, and Hot Springs, and Deadwood, and Badlands, and Wind Cave, and Mount Rushmore, and Crazy Horse, and Wall Drug","Very Good","2800, and 1000, and 400, and 200, and 0, and 100, and 200","You have never done it and probably never will, and You have never done it and probably never will, and You have never done it and probably never will, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and Occasionally when you have an opportunity, and Every Chance You Get, and You have never done it and probably never will"
1818,"11/23/2015 22:52:43","11/23/2015 23:05:17",1269101,"EPO6SXMHF3GFZQ4458",2,2,1,"IN","46240",527,"Indianapolis, IN","22",66,2,3.33419,"Married",1,0,"Some College/Technical School","2) $35,000 but less than $50,000","Female","caucasian/white","South Dakota","South Dakota","Not Likely, and Somewhat Likely, and Not Likely, and Not Likely, and Not Likely, and Somewhat Likely, and Not Likely, and Not Likely","November, 7, FRIENDS","June, 7, FRIENDS","","","","",7,"November","FRIENDS","South Dakota Was My Only Destination","","6 Months Or More In Advance","None of These","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort","Scenic Byways/Drives","1","Black Hills","Rapid City, and Mount Rushmore","Very Good","400, and 250, and 0, and 0, and 0, and 300, and 0","You have NOT done it, but would like to try sometime, and You have never done it and probably never will, and You have never done it and probably never will, and You have never done it and probably never will, and You have never done it and probably never will, and Occasionally when you have an opportunity, and You've done it, but it was over a year ago, and You have never done it and probably never will"
